ind,dt,dow,duration,pooped,peed
1,2020-05-23 18:55:00.0,sat,2,0,1
2,2020-05-23 20:30:00.0,sat,2,1,1
3,2020-05-23 21:25:00.0,sat,2,0,1
4,2020-05-24 09:38:00.0,sun,1,0,1
5,2020-05-24 11:01:00.0,sun,3,1,0
6,2020-05-24 11:52:00.0,sun,2,0,1
7,2020-05-24 13:10:00.0,sun,10,0,1
8,2020-05-24 15:40:00.0,sun,10,1,1
9,2020-05-24 17:14:00.0,sun,4,0,1
10,2020-05-24 18:50:00.0,sun,2,0,1
11,2020-05-24 19:18:00.0,sun,5,0,1
12,2020-05-24 20:46:00.0,sun,15,0,1
13,2020-05-24 22:10:00.0,sun,1,0,1
14,2020-05-25 01:01:00.0,mon,1,0,1
15,2020-05-25 07:00:00.0,mon,1,1,0
16,2020-05-25 10:04:00.0,mon,1,0,1
17,2020-05-25 11:42:00.0,mon,3,1,1
18,2020-05-25 13:01:00.0,mon,1,0,0
19,2020-05-25 16:00:00.0,mon,10,1,1
20,2020-05-25 17:38:00.0,mon,1,0,1
21,2020-05-25 18:17:00.0,mon,2,1,0
22,2020-05-25 19:18:00.0,mon,1,0,1
23,2020-05-25 20:23:00.0,mon,2,0,1
24,2020-05-25 22:00:00.0,mon,1,0,1
25,2020-05-26 08:15:00.0,tues,1,0,1
26,2020-05-26 09:25:00.0,tues,3,1,1
27,2020-05-26 10:28:00.0,tues,2,0,1
28,2020-05-26 12:42:00.0,tues,2,0,1
29,2020-05-26 13:40:00.0,tues,2,1,1
30,2020-05-26 14:00:00.0,tues,1,0,1
31,2020-05-26 15:00:00.0,tues,1,0,1
32,2020-05-26 16:47:00.0,tues,1,0,1
33,2020-05-26 17:14:00.0,tues,12,1,1
34,2020-05-26 19:00:00.0,tues,6,0,1
35,2020-05-26 20:30:00.0,tues,1,0,1
36,2020-05-26 21:07:00.0,tues,2,1,0
37,2020-05-27 00:40:00.0,wed,3,1,1
38,2020-05-27 09:15:00.0,wed,2,1,1
39,2020-05-27 11:15:00.0,wed,4,1,1
40,2020-05-27 11:48:00.0,wed,2,0,0
41,2020-05-27 13:15:00.0,wed,7,1,1
42,2020-05-27 14:45:00.0,wed,1,0,1
43,2020-05-27 16:12:00.0,wed,1,0,1
44,2020-05-27 17:57:00.0,wed,2,1,1
45,2020-05-27 18:48:00.0,wed,1,0,1
46,2020-05-27 19:35:00.0,wed,3,1,0
47,2020-05-27 20:07:00.0,wed,3,0,1
48,2020-05-28 09:43:00.0,thur,2,1,1
49,2020-05-28 10:56:00.0,thur,3,1,0
50,2020-05-28 11:55:00.0,thur,1,0,1
51,2020-05-28 13:29:00.0,thur,7,0,1
52,2020-05-28 17:05:00.0,thur,2,1,1
53,2020-05-28 17:58:00.0,thur,6,1,1
54,2020-05-28 18:40:00.0,thur,1,0,1
55,2020-05-28 19:33:00.0,thur,1,0,1
56,2020-05-28 20:32:00.0,thur,2,0,1
57,2020-05-28 21:00:00.0,thur,3,0,1
58,2020-05-29 08:00:00.0,fri,2,1,1
59,2020-05-29 10:48:00.0,fri,2,0,1
60,2020-05-29 13:00:00.0,fri,7,1,1
61,2020-05-29 14:04:00.0,fri,1,0,1
62,2020-05-29 16:42:00.0,fri,3,1,1
63,2020-05-29 17:32:00.0,fri,2,0,1
64,2020-05-29 18:24:00.0,fri,1,0,1
65,2020-05-29 19:23:00.0,fri,2,1,1
66,2020-05-29 20:45:00.0,fri,2,0,1
67,2020-05-29 21:38:00.0,fri,2,0,1
68,2020-05-29 23:58:00.0,fri,1,1,1
69,2020-05-30 08:50:00.0,sat,2,1,1
70,2020-05-30 11:45:00.0,sat,4,0,1
71,2020-05-30 13:10:00.0,sat,1,0,1
72,2020-05-30 15:38:00.0,sat,10,1,1
73,2020-05-30 18:08:00.0,sat,1,0,1
74,2020-05-30 19:01:00.0,sat,1,0,1
75,2020-05-30 20:16:00.0,sat,1,0,1
76,2020-05-30 21:03:00.0,sat,1,0,1
77,2020-05-31 08:41:00.0,sun,2,0,1
78,2020-05-31 10:49:00.0,sun,3,1,1
79,2020-05-31 12:05:00.0,sun,10,1,1
80,2020-05-31 13:26:00.0,sun,4,0,1
81,2020-05-31 13:17:00.0,sun,1,0,1
82,2020-05-31 20:05:00.0,sun,2,1,1
83,2020-05-31 22:04:00.0,sun,1,0,1
84,2020-06-01 01:55:00.0,mon,5,1,1
85,2020-06-01 08:16:00.0,mon,3,1,1
86,2020-06-01 10:30:00.0,mon,1,0,1
87,2020-06-01 11:18:00.0,mon,3,1,0
88,2020-06-01 11:45:00.0,mon,1,0,1
89,2020-06-01 13:48:00.0,mon,4,1,1
